x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg_contact,right_leg_contact,euclidean_distance,total_velocity,fast_descent,polar_angle_to_pad,abs_y_velocity,angle_x_angular_vel,x_pos_x_x_vel,y_pos_x_y_vel,low_alt_high_speed,action,next_reward
0.64188826,0.5956037,0.1742522,0.058016308,0.88494635,0.6617591,0.0,0.0,0.875651,0.183657,0.000000,0.748014,0.058016308,0.5856213,0.11185044,0.034554727,0.000000,0,-3.436920
0.64384,0.59720427,0.17435732,0.053636674,0.91803175,0.6617092,0.0,0.0,0.878170,0.182421,0.000000,0.747838,0.053636674,0.60747004,0.112258226,0.03203205,0.000000,0,-3.440199
0.6457842,0.5987165,0.17446537,0.049259383,0.9511147,0.66165924,0.0,0.0,0.880624,0.181286,0.000000,0.747596,0.049259383,0.6293138,0.11266698,0.029492406,0.000000,0,-3.443594
0.6477205,0.6001399,0.17457618,0.04488452,0.9841951,0.66160935,0.0,0.0,0.883012,0.180254,0.000000,0.747287,0.04488452,0.6511527,0.113076575,0.026936993,0.000000,0,-3.447094
0.64964867,0.6014741,0.17468962,0.04051213,1.0172731,0.66155946,0.0,0.0,0.885333,0.179326,0.000000,0.746912,0.04051213,0.6729866,0.11348688,0.024366997,0.000000,0,-3.450709
0.6515686,0.6027187,0.17480561,0.03614227,1.0503485,0.6615096,0.0,0.0,0.887587,0.178503,0.000000,0.746472,0.03614227,0.6948156,0.113897845,0.021783624,0.000000,3,-3.931698
0.65352666,0.60397846,0.18083361,0.03801956,1.0807883,0.6087939,0.0,0.0,0.889880,0.184787,0.000000,0.746017,0.03801956,0.6579773,0.11817958,0.022962995,0.000000,3,-3.584440
0.6555155,0.6052469,0.18583687,0.039579548,1.1087933,0.56009996,0.0,0.0,0.892202,0.190005,0.000000,0.745548,0.039579548,0.62103504,0.121818945,0.0239554,0.000000,3,-3.282440
0.6575302,0.6065043,0.19001536,0.04008014,1.1347928,0.5199907,0.0,0.0,0.894535,0.194196,0.000000,0.745053,0.04008014,0.5900817,0.124940835,0.024308778,0.000000,3,-3.120704
0.65957624,0.60776156,0.1947091,0.041287623,1.1585014,0.47417197,0.0,0.0,0.896892,0.199038,0.000000,0.744536,0.041287623,0.54932886,0.1284255,0.02509303,0.000000,3,-2.812181
0.66164666,0.609003,0.19837537,0.041630205,1.1803012,0.4359962,0.0,0.0,0.899256,0.202696,0.000000,0.743991,0.041630205,0.51460683,0.1312544,0.02535292,0.000000,3,-2.633874
0.6637434,0.6102619,0.20245259,0.043935962,1.1994758,0.38349137,0.0,0.0,0.901651,0.207165,0.000000,0.743444,0.043935962,0.4599886,0.13437656,0.026812444,0.000000,3,-2.232274
0.66585314,0.6115078,0.20471053,0.044435915,1.2167895,0.34627408,0.0,0.0,0.904048,0.209478,0.000000,0.742879,0.044435915,0.42134267,0.13630715,0.027172906,0.000000,3,-2.243042
0.66799736,0.6127852,0.20950632,0.047687065,1.2310892,0.28599417,0.0,0.0,0.906491,0.214865,0.000000,0.742317,0.047687065,0.35208434,0.13994966,0.029221928,0.000000,0,-1.578205
0.6701399,0.6139661,0.20953056,0.043361176,1.2453887,0.28599012,0.0,0.0,0.908868,0.213970,0.000000,0.741681,0.043361176,0.35616887,0.14041479,0.026622292,0.000000,0,-1.580025
0.67228067,0.61505085,0.20955496,0.039035514,1.259688,0.28598613,0.0,0.0,0.911180,0.213160,0.000000,0.740971,0.039035514,0.3602533,0.14087975,0.024008825,0.000000,3,-1.806187
0.6744455,0.61615634,0.21294565,0.041663695,1.2712827,0.2318902,0.0,0.0,0.913524,0.216983,0.000000,0.740265,0.041663695,0.294798,0.14362024,0.02567135,0.000000,3,-1.499951
