x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,action
-0.060123157,-0.00083512306,-0.08999352,-3.0425557e-08,0.0035787742,1.1449751e-08,1.0,1.0,0
-0.06101389,-0.00083512306,-0.08907713,-6.9081803e-09,0.003578788,-6.627184e-10,1.0,1.0,0
-0.061895467,-0.00083512306,-0.088160716,6.850317e-09,0.0035787853,-2.7884453e-10,1.0,1.0,0
-0.062767886,-0.00083512306,-0.0872443,6.9173938e-09,0.003578791,1.4620799e-10,1.0,1.0,0
-0.063631155,-0.00083512306,-0.08632789,3.2358654e-09,0.0035787895,-3.0590712e-09,1.0,1.0,0
-0.06448527,-0.00083512306,-0.085411474,-4.758262e-10,0.0035787942,-6.352701e-09,1.0,1.0,0
-0.06533022,-0.00083512306,-0.08449507,-3.2265377e-09,0.0035787988,-4.355182e-09,1.0,1.0,0
-0.06616602,-0.00083512306,-0.08357866,-4.4602837e-09,0.0035787963,-2.3179365e-09,1.0,1.0,0
-0.06699266,-0.00083512306,-0.08266225,-5.5028253e-09,0.0035787863,-9.525828e-10,1.0,1.0,0
-0.067810155,-0.00083512306,-0.08174584,-5.3909486e-09,0.0035787919,-1.8972033e-09,1.0,1.0,0
-0.06861849,-0.00083512306,-0.08082943,-3.090146e-09,0.0035787958,-3.6122425e-09,1.0,1.0,0
-0.06941757,-0.00083512306,-0.07991302,-1.0246812e-09,0.0035787858,9.813742e-10,1.0,1.0,0
-0.0702075,-0.00083512306,-0.07899661,8.3764073e-10,0.0035787898,-5.211325e-09,1.0,1.0,0
-0.070988275,-0.00083512306,-0.0780802,2.7807943e-09,0.0035787865,5.373174e-10,1.0,1.0,0
-0.071759894,-0.00083512306,-0.07716379,4.410644e-09,0.003578784,1.906831e-09,1.0,1.0,0
-0.07252236,-0.00083512306,-0.07624738,4.794517e-09,0.0035787814,-7.5029005e-10,1.0,1.0,0
-0.07327566,-0.00083512306,-0.07533097,5.0867865e-09,0.0035787774,1.9129591e-09,1.0,1.0,0
-0.07401981,-0.00083512306,-0.074414566,4.658526e-09,0.003578775,2.5913882e-09,1.0,1.0,0
-0.07475481,-0.00083512306,-0.07349815,4.0145527e-09,0.003578772,3.1928917e-09,1.0,1.0,0
